ID,English,简体中文,繁体中文,
HT_Check11,For CS4 and later only. Combines Alt + Right-click to simulate functionality found in 3D software.,仅用于 CS4 及以上版本，将 Alt+右键 合并以达到模拟3D软件相关功能的效果。,僅適用於 CS4 及更新版本，將 Alt+右鍵 合併以達到模擬 3D 軟體相關功能的效果。,
HT_ModifyBrushKey,Set a hotkey for the 'Modify Brush Radius' feature.,为修改笔刷范围功能设置一个快捷键。,為「修改筆刷範圍」功能設置一個快速鍵。,
HT_Check6,Create a new layer with one key (equivalent to Alt+Shift+Ctrl+N) without confirmation.,一键创建新图层（Alt+Shift+Ctrl+N）而无需确认。,一鍵建立新圖層（Alt+Shift+Ctrl+N）而無需確認。,
HT_QCLayer,Set a hotkey for the 'Quickly Create New Layer' feature.,为快速创建新图层功能设置一个快捷键。,為「快速建立新圖層」功能設置一個快速鍵。,
HT_Tiptext,Optional. The content will be displayed in the pop-up message.,选填，内容将显示于弹出信息内。,選填，內容將顯示於彈出訊息內。,
HT_Check10,"When checked, prevents a single click of the Alt key from triggering the menu.",选中后防止单击 Alt 触发菜单。,選取後可防止點擊 Alt 鍵觸發選單。,
HT_CSave,Save and exit the settings window.,保存并退出设置界面。,儲存並關閉設定視窗。,
HT_CCancel,Cancel changes and exit the settings window.,取消保存并退出设置界面。,取消儲存並關閉設定視窗。,
HT_Check14,"If checked, the program will attempt to clean up temporary files left by an improper Photoshop shutdown upon exit.",选中后可在退出本程序时自动尝试清理因 Photoshop 非法关闭而残留的临时文件。,選取後，可於退出本程式時，自動嘗試清理因 Photoshop 異常關閉而殘留的暫存檔。,
HT_SHLayer,Set a hotkey for the 'Show/Hide Current Layer' feature.,为显示或隐藏当前图层功能设置一个快捷键。,為「顯示/隱藏目前圖層」功能設置一個快速鍵。,
